,address,price,beds,baths,sqft,type,links
0,"1018 W 2600 N, Layton, UT 84041","$460,000",4,4,"2,058",Single-Family Home,https://www.zillow.com/homedetails/1018-W-2600-N-Layton-UT-84041/12685132_zpid/
1,"2239 N 475 W #25, Layton, UT 84041","$489,900",4,3,"2,104",Town House,https://www.zillow.com/homedetails/2239-N-475-W-25-Layton-UT-84041/2071359325_zpid/
2,"1417 N 2475 W, Layton, UT 84041","$499,900",4,4,"2,103",Single-Family Home,https://www.zillow.com/homedetails/1417-N-2475-W-Layton-UT-84041/68441248_zpid/
3,"1006 W 2200 N, Layton, UT 84041","$374,900",4,2,"1,889",Single-Family Home,https://www.zillow.com/homedetails/1006-W-2200-N-Layton-UT-84041/12682963_zpid/
4,"147 E 975 S, Layton, UT 84041","$639,900",4,3,"3,242",Single-Family Home,https://www.zillow.com/homedetails/147-E-975-S-Layton-UT-84041/304690892_zpid/
5,"146 S 1125 W, Layton, UT 84041","$540,000",6,3,"2,574",Single-Family Home,https://www.zillow.com/homedetails/146-S-1125-W-Layton-UT-84041/68440642_zpid/
6,"1456 E Kayscreek Dr #42, Layton, UT 84040","$415,000",4,3,"2,991",Single-Family Home,https://www.zillow.com/homedetails/1456-E-Kayscreek-Dr-42-Layton-UT-84040/2062514258_zpid/
7,"1988 E 1300 N, Layton, UT 84040","$469,900",4,3,"2,472",Single-Family Home,https://www.zillow.com/homedetails/1988-E-1300-N-Layton-UT-84040/12686120_zpid/
8,"2453 W Sunburst Dr, Layton, UT 84041","$630,000",6,3,"3,225",Single-Family Home,https://www.zillow.com/homedetails/2453-W-Sunburst-Dr-Layton-UT-84041/249104598_zpid/
9,"987 E Mountain Shadow Dr, Layton, UT 84040","$630,000",4,3,"2,812",Single-Family Home,https://www.zillow.com/homedetails/987-E-Mountain-Shadow-Dr-Layton-UT-84040/122959093_zpid/
10,"2514 Oak Ln, Layton, UT 84040","$505,000",3,2,"1,822",Single-Family Home,https://www.zillow.com/homedetails/2514-Oak-Ln-Layton-UT-84040/12683873_zpid/
11,"374 W 25 N, Layton, UT 84041","$435,000",3,3,"2,018",Town House,https://www.zillow.com/homedetails/374-W-25-N-Layton-UT-84041/2061530396_zpid/
12,"935 E 3000 N #71, Layton, UT 84040","$79,900",3,2,960,Single-Family Home,https://www.zillow.com/homedetails/935-E-3000-N-71-Layton-UT-84040/2072793482_zpid/
13,"477 S Harmony Ct, Layton, UT 84041","$650,000",6,4,"3,074",Single-Family Home,https://www.zillow.com/homedetails/477-S-Harmony-Ct-Layton-UT-84041/304691232_zpid/
14,"345 Liberty St, Layton, UT 84041","$435,000",5,2,"1,920",Single-Family Home,https://www.zillow.com/homedetails/345-Liberty-St-Layton-UT-84041/12693796_zpid/
15,"1613 E 3175 N, Layton, UT 84040","$575,000",3,3,"3,335",Single-Family Home,https://www.zillow.com/homedetails/1613-E-3175-N-Layton-UT-84040/2081906912_zpid/
16,"2161 W Spruce Cir, Layton, UT 84041","$725,000",4,3,"3,980",Single-Family Home,https://www.zillow.com/homedetails/2161-W-Spruce-Cir-Layton-UT-84041/124782727_zpid/
17,"513 S Willow Pine Ln, Layton, UT 84041","$739,999",4,3,"3,965",Single-Family Home,https://www.zillow.com/homedetails/513-S-Willow-Pine-Ln-Layton-UT-84041/249103172_zpid/
18,"216 Engstrom Way, Layton, UT 84041","$89,000",2,1,933,Single-Family Home,https://www.zillow.com/homedetails/216-Engstrom-Way-Layton-UT-84041/2077306193_zpid/
